plate	round	well	tile
1	1	B1	0
1	1	B1	1
1	1	B1	2
1	1	B1	3
1	1	B1	4
1	1	B1	5
1	1	B1	6
1	1	B1	7
1	1	B1	8
1	1	B1	9
1	1	B1	10
1	1	B1	11
1	1	B1	12
1	1	B1	13
1	1	B1	14
1	1	B1	15
1	1	B1	16
1	1	B1	17
1	1	B1	18
1	1	B1	19
1	1	B1	20
1	1	B1	21
1	1	B1	22
1	1	B1	23
1	1	B1	24
1	1	B1	25
1	1	B1	26
1	1	B1	27
1	1	B1	28
1	1	B1	29
1	1	B1	30
1	1	B1	31
1	1	B1	32
1	1	B1	33
1	1	B1	34
1	1	B1	35
1	1	B1	36
1	1	B1	37
1	1	B1	38
1	1	B1	39
1	1	B1	40
1	1	B1	41
1	1	B1	42
1	1	B1	43
1	1	B1	44
1	1	B1	45
1	1	B1	46
1	1	B1	47
1	1	B1	48
1	1	B1	49
1	1	B1	50
1	1	B1	51
1	1	B1	52
1	1	B1	53
1	1	B1	54
1	1	B1	55
1	1	B1	56
1	1	B1	57
1	1	B1	58
1	1	B1	59
1	1	B1	60
1	1	B1	61
1	1	B1	62
1	1	B1	63
1	1	B1	64
1	1	B1	65
1	1	B1	66
1	1	B1	67
1	1	B1	68
1	1	B1	69
1	1	B1	70
1	1	B1	71
1	1	B1	72
1	1	B1	73
1	1	B1	74
1	1	B1	75
1	1	B1	76
1	1	B1	77
1	1	B1	78
1	1	B1	79
1	1	B1	80
1	1	B1	81
1	1	B1	82
1	1	B1	83
1	1	B1	84
1	1	B1	85
1	1	B1	86
1	1	B1	87
1	1	B1	88
1	1	B1	89
1	1	B1	90
1	1	B1	91
1	1	B1	92
1	1	B1	93
1	1	B1	94
1	1	B1	95
1	1	B1	96
1	1	B1	97
1	1	B1	98
1	1	B1	99
1	1	B1	100
1	1	B1	101
1	1	B1	102
1	1	B1	103
1	1	B1	104
1	1	B1	105
1	1	B1	106
1	1	B1	107
1	1	B1	108
1	1	B1	109
1	1	B1	110
1	1	B1	111
1	1	B1	112
1	1	B1	113
1	1	B1	114
1	1	B1	115
1	1	B1	116
1	1	B1	117
1	1	B1	118
1	1	B1	119
1	1	B1	120
1	1	B1	121
1	1	B1	122
1	1	B1	123
1	1	B1	124
1	1	B1	125
1	1	B1	126
1	1	B1	127
1	1	B1	128
1	1	B1	129
1	1	B1	130
1	1	B1	131
1	1	B1	132
1	1	B1	133
1	1	B1	134
1	1	B1	135
1	1	B1	136
1	1	B1	137
1	1	B1	138
1	1	B1	139
1	1	B1	140
1	1	B1	141
1	1	B1	142
1	1	B1	143
1	1	B1	144
1	1	B1	145
1	1	B1	146
1	1	B1	147
1	1	B1	148
1	1	B1	149
1	1	B1	150
1	1	B1	151
1	1	B1	152
1	1	B1	153
1	1	B1	154
1	1	B1	155
1	1	B1	156
1	1	B1	157
1	1	B1	158
1	1	B1	159
1	1	B1	160
1	1	B1	161
1	1	B1	162
1	1	B1	163
1	1	B1	164
1	1	B1	165
1	1	B1	166
1	1	B1	167
1	1	B1	168
1	1	B1	169
1	1	B1	170
1	1	B1	171
1	1	B1	172
1	1	B1	173
1	1	B1	174
1	1	B1	175
1	1	B1	176
1	1	B1	177
1	1	B1	178
1	1	B1	179
1	1	B1	180
1	1	B1	181
1	1	B1	182
1	1	B1	183
1	1	B1	184
1	1	B1	185
1	1	B1	186
1	1	B1	187
1	1	B1	188
1	1	B1	189
1	1	B1	190
1	1	B1	191
1	1	B1	192
1	1	B1	193
1	1	B1	194
1	1	B1	195
