sample_fp	plate	round	well	tile
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0000_ChannelDAPI_Seq0000.nd2	1	1	B1	0
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0001_ChannelDAPI_Seq0001.nd2	1	1	B1	1
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0002_ChannelDAPI_Seq0002.nd2	1	1	B1	2
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0003_ChannelDAPI_Seq0003.nd2	1	1	B1	3
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0004_ChannelDAPI_Seq0004.nd2	1	1	B1	4
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0005_ChannelDAPI_Seq0005.nd2	1	1	B1	5
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0006_ChannelDAPI_Seq0006.nd2	1	1	B1	6
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0007_ChannelDAPI_Seq0007.nd2	1	1	B1	7
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0008_ChannelDAPI_Seq0008.nd2	1	1	B1	8
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0009_ChannelDAPI_Seq0009.nd2	1	1	B1	9
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0010_ChannelDAPI_Seq0010.nd2	1	1	B1	10
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0011_ChannelDAPI_Seq0011.nd2	1	1	B1	11
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0012_ChannelDAPI_Seq0012.nd2	1	1	B1	12
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0013_ChannelDAPI_Seq0013.nd2	1	1	B1	13
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0014_ChannelDAPI_Seq0014.nd2	1	1	B1	14
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0015_ChannelDAPI_Seq0015.nd2	1	1	B1	15
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0016_ChannelDAPI_Seq0016.nd2	1	1	B1	16
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0017_ChannelDAPI_Seq0017.nd2	1	1	B1	17
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0018_ChannelDAPI_Seq0018.nd2	1	1	B1	18
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0019_ChannelDAPI_Seq0019.nd2	1	1	B1	19
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0020_ChannelDAPI_Seq0020.nd2	1	1	B1	20
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0021_ChannelDAPI_Seq0021.nd2	1	1	B1	21
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0022_ChannelDAPI_Seq0022.nd2	1	1	B1	22
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0023_ChannelDAPI_Seq0023.nd2	1	1	B1	23
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0024_ChannelDAPI_Seq0024.nd2	1	1	B1	24
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0025_ChannelDAPI_Seq0025.nd2	1	1	B1	25
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0026_ChannelDAPI_Seq0026.nd2	1	1	B1	26
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0027_ChannelDAPI_Seq0027.nd2	1	1	B1	27
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0028_ChannelDAPI_Seq0028.nd2	1	1	B1	28
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0029_ChannelDAPI_Seq0029.nd2	1	1	B1	29
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0030_ChannelDAPI_Seq0030.nd2	1	1	B1	30
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0031_ChannelDAPI_Seq0031.nd2	1	1	B1	31
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0032_ChannelDAPI_Seq0032.nd2	1	1	B1	32
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0033_ChannelDAPI_Seq0033.nd2	1	1	B1	33
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0034_ChannelDAPI_Seq0034.nd2	1	1	B1	34
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0035_ChannelDAPI_Seq0035.nd2	1	1	B1	35
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0036_ChannelDAPI_Seq0036.nd2	1	1	B1	36
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0037_ChannelDAPI_Seq0037.nd2	1	1	B1	37
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0038_ChannelDAPI_Seq0038.nd2	1	1	B1	38
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0039_ChannelDAPI_Seq0039.nd2	1	1	B1	39
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0040_ChannelDAPI_Seq0040.nd2	1	1	B1	40
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0041_ChannelDAPI_Seq0041.nd2	1	1	B1	41
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0042_ChannelDAPI_Seq0042.nd2	1	1	B1	42
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0043_ChannelDAPI_Seq0043.nd2	1	1	B1	43
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0044_ChannelDAPI_Seq0044.nd2	1	1	B1	44
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0045_ChannelDAPI_Seq0045.nd2	1	1	B1	45
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0046_ChannelDAPI_Seq0046.nd2	1	1	B1	46
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0047_ChannelDAPI_Seq0047.nd2	1	1	B1	47
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0048_ChannelDAPI_Seq0048.nd2	1	1	B1	48
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0049_ChannelDAPI_Seq0049.nd2	1	1	B1	49
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0050_ChannelDAPI_Seq0050.nd2	1	1	B1	50
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0051_ChannelDAPI_Seq0051.nd2	1	1	B1	51
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0052_ChannelDAPI_Seq0052.nd2	1	1	B1	52
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0053_ChannelDAPI_Seq0053.nd2	1	1	B1	53
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0054_ChannelDAPI_Seq0054.nd2	1	1	B1	54
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0055_ChannelDAPI_Seq0055.nd2	1	1	B1	55
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0056_ChannelDAPI_Seq0056.nd2	1	1	B1	56
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0057_ChannelDAPI_Seq0057.nd2	1	1	B1	57
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0058_ChannelDAPI_Seq0058.nd2	1	1	B1	58
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0059_ChannelDAPI_Seq0059.nd2	1	1	B1	59
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0060_ChannelDAPI_Seq0060.nd2	1	1	B1	60
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0061_ChannelDAPI_Seq0061.nd2	1	1	B1	61
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0062_ChannelDAPI_Seq0062.nd2	1	1	B1	62
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0063_ChannelDAPI_Seq0063.nd2	1	1	B1	63
