plate	cycle	well	tile	channel
1	1	B1	0	405_nm_Ex
1	1	B1	0	561_nm_Ex_-_1
1	1	B1	0	561_nm_Ex_-_2
1	1	B1	0	638_nm_Ex_-_1
1	1	B1	0	638_nm_Ex_-_2
1	2	B1	0	405_nm_Ex
1	2	B1	0	561_nm_Ex_-_1
1	2	B1	0	561_nm_Ex_-_2
1	2	B1	0	638_nm_Ex_-_1
1	2	B1	0	638_nm_Ex_-_2
1	3	B1	0	405_nm_Ex
1	3	B1	0	561_nm_Ex_-_1
1	3	B1	0	561_nm_Ex_-_2
1	3	B1	0	638_nm_Ex_-_1
1	3	B1	0	638_nm_Ex_-_2
1	4	B1	0	405_nm_Ex
1	4	B1	0	561_nm_Ex_-_1
1	4	B1	0	561_nm_Ex_-_2
1	4	B1	0	638_nm_Ex_-_1
1	4	B1	0	638_nm_Ex_-_2
1	5	B1	0	405_nm_Ex
1	5	B1	0	561_nm_Ex_-_1
1	5	B1	0	561_nm_Ex_-_2
1	5	B1	0	638_nm_Ex_-_1
1	5	B1	0	638_nm_Ex_-_2
1	6	B1	0	405_nm_Ex
1	6	B1	0	561_nm_Ex_-_1
1	6	B1	0	561_nm_Ex_-_2
1	6	B1	0	638_nm_Ex_-_1
1	6	B1	0	638_nm_Ex_-_2
1	7	B1	0	405_nm_Ex
1	7	B1	0	561_nm_Ex_-_1
1	7	B1	0	561_nm_Ex_-_2
1	7	B1	0	638_nm_Ex_-_1
1	7	B1	0	638_nm_Ex_-_2
1	8	B1	0	405_nm_Ex
1	8	B1	0	561_nm_Ex_-_1
1	8	B1	0	561_nm_Ex_-_2
1	8	B1	0	638_nm_Ex_-_1
1	8	B1	0	638_nm_Ex_-_2
1	9	B1	0	405_nm_Ex
1	9	B1	0	561_nm_Ex_-_1
1	9	B1	0	561_nm_Ex_-_2
1	9	B1	0	638_nm_Ex_-_1
1	9	B1	0	638_nm_Ex_-_2
1	10	B1	0	405_nm_Ex
1	10	B1	0	561_nm_Ex_-_1
1	10	B1	0	561_nm_Ex_-_2
1	10	B1	0	638_nm_Ex_-_1
1	10	B1	0	638_nm_Ex_-_2
1	11	B1	0	405_nm_Ex
1	11	B1	0	561_nm_Ex_-_1
1	11	B1	0	561_nm_Ex_-_2
1	11	B1	0	638_nm_Ex_-_1
1	11	B1	0	638_nm_Ex_-_2
1	12	B1	0	405_nm_Ex
1	12	B1	0	561_nm_Ex_-_1
1	12	B1	0	561_nm_Ex_-_2
1	12	B1	0	638_nm_Ex_-_1
1	12	B1	0	638_nm_Ex_-_2
1	1	B1	1	405_nm_Ex
1	1	B1	1	561_nm_Ex_-_1
1	1	B1	1	561_nm_Ex_-_2
1	1	B1	1	638_nm_Ex_-_1
1	1	B1	1	638_nm_Ex_-_2
1	2	B1	1	405_nm_Ex
1	2	B1	1	561_nm_Ex_-_1
1	2	B1	1	561_nm_Ex_-_2
1	2	B1	1	638_nm_Ex_-_1
1	2	B1	1	638_nm_Ex_-_2
1	3	B1	1	405_nm_Ex
1	3	B1	1	561_nm_Ex_-_1
1	3	B1	1	561_nm_Ex_-_2
1	3	B1	1	638_nm_Ex_-_1
1	3	B1	1	638_nm_Ex_-_2
1	4	B1	1	405_nm_Ex
1	4	B1	1	561_nm_Ex_-_1
1	4	B1	1	561_nm_Ex_-_2
1	4	B1	1	638_nm_Ex_-_1
1	4	B1	1	638_nm_Ex_-_2
1	5	B1	1	405_nm_Ex
1	5	B1	1	561_nm_Ex_-_1
1	5	B1	1	561_nm_Ex_-_2
1	5	B1	1	638_nm_Ex_-_1
1	5	B1	1	638_nm_Ex_-_2
1	6	B1	1	405_nm_Ex
1	6	B1	1	561_nm_Ex_-_1
1	6	B1	1	561_nm_Ex_-_2
1	6	B1	1	638_nm_Ex_-_1
1	6	B1	1	638_nm_Ex_-_2
1	7	B1	1	405_nm_Ex
1	7	B1	1	561_nm_Ex_-_1
1	7	B1	1	561_nm_Ex_-_2
1	7	B1	1	638_nm_Ex_-_1
1	7	B1	1	638_nm_Ex_-_2
1	8	B1	1	405_nm_Ex
1	8	B1	1	561_nm_Ex_-_1
1	8	B1	1	561_nm_Ex_-_2
1	8	B1	1	638_nm_Ex_-_1
1	8	B1	1	638_nm_Ex_-_2
1	9	B1	1	405_nm_Ex
1	9	B1	1	561_nm_Ex_-_1
1	9	B1	1	561_nm_Ex_-_2
1	9	B1	1	638_nm_Ex_-_1
1	9	B1	1	638_nm_Ex_-_2
1	10	B1	1	405_nm_Ex
1	10	B1	1	561_nm_Ex_-_1
1	10	B1	1	561_nm_Ex_-_2
1	10	B1	1	638_nm_Ex_-_1
1	10	B1	1	638_nm_Ex_-_2
1	11	B1	1	405_nm_Ex
1	11	B1	1	561_nm_Ex_-_1
1	11	B1	1	561_nm_Ex_-_2
1	11	B1	1	638_nm_Ex_-_1
1	11	B1	1	638_nm_Ex_-_2
1	12	B1	1	405_nm_Ex
1	12	B1	1	561_nm_Ex_-_1
1	12	B1	1	561_nm_Ex_-_2
1	12	B1	1	638_nm_Ex_-_1
1	12	B1	1	638_nm_Ex_-_2
1	1	B1	2	405_nm_Ex
1	1	B1	2	561_nm_Ex_-_1
1	1	B1	2	561_nm_Ex_-_2
1	1	B1	2	638_nm_Ex_-_1
1	1	B1	2	638_nm_Ex_-_2
1	2	B1	2	405_nm_Ex
1	2	B1	2	561_nm_Ex_-_1
1	2	B1	2	561_nm_Ex_-_2
1	2	B1	2	638_nm_Ex_-_1
1	2	B1	2	638_nm_Ex_-_2
1	3	B1	2	405_nm_Ex
1	3	B1	2	561_nm_Ex_-_1
1	3	B1	2	561_nm_Ex_-_2
1	3	B1	2	638_nm_Ex_-_1
1	3	B1	2	638_nm_Ex_-_2
1	4	B1	2	405_nm_Ex
1	4	B1	2	561_nm_Ex_-_1
1	4	B1	2	561_nm_Ex_-_2
1	4	B1	2	638_nm_Ex_-_1
1	4	B1	2	638_nm_Ex_-_2
1	5	B1	2	405_nm_Ex
1	5	B1	2	561_nm_Ex_-_1
1	5	B1	2	561_nm_Ex_-_2
1	5	B1	2	638_nm_Ex_-_1
1	5	B1	2	638_nm_Ex_-_2
1	6	B1	2	405_nm_Ex
1	6	B1	2	561_nm_Ex_-_1
1	6	B1	2	561_nm_Ex_-_2
1	6	B1	2	638_nm_Ex_-_1
1	6	B1	2	638_nm_Ex_-_2
1	7	B1	2	405_nm_Ex
1	7	B1	2	561_nm_Ex_-_1
1	7	B1	2	561_nm_Ex_-_2
1	7	B1	2	638_nm_Ex_-_1
1	7	B1	2	638_nm_Ex_-_2
1	8	B1	2	405_nm_Ex
1	8	B1	2	561_nm_Ex_-_1
1	8	B1	2	561_nm_Ex_-_2
1	8	B1	2	638_nm_Ex_-_1
1	8	B1	2	638_nm_Ex_-_2
1	9	B1	2	405_nm_Ex
1	9	B1	2	561_nm_Ex_-_1
1	9	B1	2	561_nm_Ex_-_2
1	9	B1	2	638_nm_Ex_-_1
1	9	B1	2	638_nm_Ex_-_2
1	10	B1	2	405_nm_Ex
1	10	B1	2	561_nm_Ex_-_1
1	10	B1	2	561_nm_Ex_-_2
1	10	B1	2	638_nm_Ex_-_1
1	10	B1	2	638_nm_Ex_-_2
1	11	B1	2	405_nm_Ex
1	11	B1	2	561_nm_Ex_-_1
1	11	B1	2	561_nm_Ex_-_2
1	11	B1	2	638_nm_Ex_-_1
1	11	B1	2	638_nm_Ex_-_2
1	12	B1	2	405_nm_Ex
1	12	B1	2	561_nm_Ex_-_1
1	12	B1	2	561_nm_Ex_-_2
1	12	B1	2	638_nm_Ex_-_1
1	12	B1	2	638_nm_Ex_-_2
1	1	B1	3	405_nm_Ex
1	1	B1	3	561_nm_Ex_-_1
1	1	B1	3	561_nm_Ex_-_2
1	1	B1	3	638_nm_Ex_-_1
1	1	B1	3	638_nm_Ex_-_2
1	2	B1	3	405_nm_Ex
1	2	B1	3	561_nm_Ex_-_1
1	2	B1	3	561_nm_Ex_-_2
1	2	B1	3	638_nm_Ex_-_1
1	2	B1	3	638_nm_Ex_-_2
1	3	B1	3	405_nm_Ex
1	3	B1	3	561_nm_Ex_-_1
1	3	B1	3	561_nm_Ex_-_2
1	3	B1	3	638_nm_Ex_-_1
1	3	B1	3	638_nm_Ex_-_2
1	4	B1	3	405_nm_Ex
1	4	B1	3	561_nm_Ex_-_1
1	4	B1	3	561_nm_Ex_-_2
1	4	B1	3	638_nm_Ex_-_1
1	4	B1	3	638_nm_Ex_-_2
1	5	B1	3	405_nm_Ex
1	5	B1	3	561_nm_Ex_-_1
1	5	B1	3	561_nm_Ex_-_2
1	5	B1	3	638_nm_Ex_-_1
1	5	B1	3	638_nm_Ex_-_2
1	6	B1	3	405_nm_Ex
1	6	B1	3	561_nm_Ex_-_1
1	6	B1	3	561_nm_Ex_-_2
1	6	B1	3	638_nm_Ex_-_1
1	6	B1	3	638_nm_Ex_-_2
1	7	B1	3	405_nm_Ex
1	7	B1	3	561_nm_Ex_-_1
1	7	B1	3	561_nm_Ex_-_2
1	7	B1	3	638_nm_Ex_-_1
1	7	B1	3	638_nm_Ex_-_2
1	8	B1	3	405_nm_Ex
1	8	B1	3	561_nm_Ex_-_1
1	8	B1	3	561_nm_Ex_-_2
1	8	B1	3	638_nm_Ex_-_1
1	8	B1	3	638_nm_Ex_-_2
1	9	B1	3	405_nm_Ex
1	9	B1	3	561_nm_Ex_-_1
1	9	B1	3	561_nm_Ex_-_2
1	9	B1	3	638_nm_Ex_-_1
1	9	B1	3	638_nm_Ex_-_2
1	10	B1	3	405_nm_Ex
1	10	B1	3	561_nm_Ex_-_1
1	10	B1	3	561_nm_Ex_-_2
1	10	B1	3	638_nm_Ex_-_1
1	10	B1	3	638_nm_Ex_-_2
1	11	B1	3	405_nm_Ex
1	11	B1	3	561_nm_Ex_-_1
1	11	B1	3	561_nm_Ex_-_2
1	11	B1	3	638_nm_Ex_-_1
1	11	B1	3	638_nm_Ex_-_2
1	12	B1	3	405_nm_Ex
1	12	B1	3	561_nm_Ex_-_1
1	12	B1	3	561_nm_Ex_-_2
1	12	B1	3	638_nm_Ex_-_1
1	12	B1	3	638_nm_Ex_-_2
1	1	B1	4	405_nm_Ex
1	1	B1	4	561_nm_Ex_-_1
1	1	B1	4	561_nm_Ex_-_2
