sample_fp	plate	well	tile	cycle	channel
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	1	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	1	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	1	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	1	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C1/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	1	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	2	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	2	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	2	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	2	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C2/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	2	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C3/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	3	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C3/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	3	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C3/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	3	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C3/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	3	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C3/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	3	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C4/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	4	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C4/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	4	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C4/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	4	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C4/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	4	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C4/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	4	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C5/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	5	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C5/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	5	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C5/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	5	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C5/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	5	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C5/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	5	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C6/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	6	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C6/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	6	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C6/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	6	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C6/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	6	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C6/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	6	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	7	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	7	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	7	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	7	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	7	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	8	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	8	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	8	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	8	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	8	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	9	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	9	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	9	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	9	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	9	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	10	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	10	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	10	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	10	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	10	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	11	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	11	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	11	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	11	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C11/B1_0_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	0	11	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_0_0_Fluorescence_405_nm_Ex.tiff	1	B1	0	12	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_0_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	0	12	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_0_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	0	12	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C12/B1_0_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	0	12	638_nm_Ex_-_1
